Ag,Al,La,Phase,,,,,,,,,
87.5,0.5,12,AM,,,,,,,,,
88,1,11,AM,,,,,,,,,
88,2,10,AM,,,,,,,,,
82,6,12,AC,,,,,,,,,
83,4,13,AC,,,,,,,,,
84,4,12,AC,,,,,,,,,
84,6,10,AC,,,,,,,,,
85,2,13,AC,,,,,,,,,
85,7,8,AC,,,,,,,,,
86,0,14,AC,,,,,,,,,
86,4,10,AC,,,,,,,,,
86,6,8,AC,,,,,,,,,
86,8,6,AC,,,,,,,,,
88,0,12,AC,,,,,,,,,
88,2,10,AC,,,,,,,,,
88,4,8,AC,,,,,,,,,
88,6,6,AC,,,,,,,,,
89,2,9,AC,,,,,,,,,
90,0,10,AC,,,,,,,,,
90,2,8,AC,,,,,,,,,
90,4,6,AC,,,,,,,,,
90,6,4,AC,,,,,,,,,
92,0,8,AC,,,,,,,,,
92,2,6,AC,,,,,,,,,
92,4,4,AC,,,,,,,,,
92,6,2,AC,,,,,,,,,
94,2,4,AC,,,,,,,,,
94,4,2,AC,,,,,,,,,
94,0,6,CR,,,,,,,,,
94,6,0,CR,,,,,,,,,
96,0,4,CR,,,,,,,,,
96,2,2,CR,,,,,,,,,
96,4,0,CR,,,,,,,,,
98,0,2,CR,,,,,,,,,
98,2,0,CR,,,,,,,,,
1,0,0,CR,,,,,,,,,
80,6,14,OT,,,,,,,,,
80,8,12,OT,,,,,,,,,
82,4,14,OT,,,,,,,,,
82,6,12,OT,,,,,,,,,
82,8,10,OT,,,,,,,,,
84,2,14,OT,,,,,,,,,
84,8,8,OT,,,,,,,,,
86,8,6,OT,,,,,,,,,
88,8,4,OT,,,,,,,,,
90,8,2,OT,,,,,,,,,
92,8,0,OT,,,,,,,,,
80,15,5,QC,,,,,,,,,
Al,Mn,Zr,Phase,,,,,,,,,
15,15,70,AM,,,,,,,,,
Al,Mo,Ni,Phase,,,,,,,,,
65,5,30,AM,,,,,,,,,
70,5,25,AM,,,,,,,,,
70,10,20,AM,,,,,,,,,
75,5,20,AM,,,,,,,,,
75,10,15,AM,,,,,,,,,
80,5,15,AM,,,,,,,,,
85,3,12,AM,,,,,,,,,
85,5,10,AM,,,,,,,,,
Al,Nb,Ni,Phase,,,,,,,,,
0,45,55,AM,,,,,,,,,
0,50,50,AM,,,,,,,,,
8,42,50,AM,,,,,,,,,
16,34,50,AM,,,,,,,,,
16,46,38,AM,,,,,,,,,
0,20,80,AC,,,,,,,,,
22,20,58,AC,,,,,,,,,
25,20,55,AC,,,,,,,,,
30,50,20,AC,,,,,,,,,
43,35,22,AC,,,,,,,,,
25,75,0,CR,,,,,,,,,
32,33,35,CR,,,,,,,,,
33,62,5,CR,,,,,,,,,
35,65,0,CR,,,,,,,,,
49,33,18,CR,,,,,,,,,
Al,Nb,Ti,Phase,,,,,,,,,
24,11,65,AM,,,,,,,,,
25,25,50,AM,,,,,,,,,
28.5,23.9,47.6,AM,,,,,,,,,
37.5,12.5,50,AM,,,,,,,,,
Al,Nd,Ni,Phase,,,,,,,,,
65,15,20,AM,,,,,,,,,
70,10,20,AM,,,,,,,,,
70,15,15,AM,,,,,,,,,
74,10,16,AM,,,,,,,,,
75,10,15,AM,,,,,,,,,
75,15,10,AM,,,,,,,,,
79,10,11,AM,,,,,,,,,
80,5,15,AM,,,,,,,,,
80,10,10,AM,,,,,,,,,
81,9,10,AM,,,,,,,,,
83,7,10,AM,,,,,,,,,
83,9,8,AM,,,,,,,,,
84,10,6,AM,,,,,,,,,
85,5,10,AM,,,,,,,,,
85,7,8,AM,,,,,,,,,
85,9,6,AM,,,,,,,,,
85,10,5,AM,,,,,,,,,
86,14,0,AM,,,,,,,,,
87,5,8,AM,,,,,,,,,
87,7,6,AM,,,,,,,,,
88,10,2,AM,,,,,,,,,
88,12,0,AM,,,,,,,,,
90,5,5,AM,,,,,,,,,
90,10,0,AM,,,,,,,,,
92,8,0,AM,,,,,,,,,
80,15,5,AC,,,,,,,,,
65,20,15,CR,,,,,,,,,
70,20,10,CR,,,,,,,,,
75,5,20,CR,,,,,,,,,
75,20,5,CR,,,,,,,,,
94,6,0,CR,,,,,,,,,
25,55,20,AM,,,,,,,,,
80,2,18,AM,,,,,,,,,
80,4,16,AM,,,,,,,,,
80,8,12,AM,,,,,,,,,
80,12,8,AM,,,,,,,,,
82,2,16,AM,,,,,,,,,
82,4,14,AM,,,,,,,,,
82,6,12,AM,,,,,,,,,
82,8,10,AM,,,,,,,,,
82,10,8,AM,,,,,,,,,
84,1,15,AM,,,,,,,,,
84,2,14,AM,,,,,,,,,
84,4,12,AM,,,,,,,,,
84,6,10,AM,,,,,,,,,
84,8,8,AM,,,,,,,,,
84,12,4,AM,,,,,,,,,
85,2,13,AM,,,,,,,,,
86,1,13,AM,,,,,,,,,
86,2,12,AM,,,,,,,,,
86,4,10,AM,,,,,,,,,
86,6,8,AM,,,,,,,,,
86,8,6,AM,,,,,,,,,
86,10,4,AM,,,,,,,,,
88,1,11,AM,,,,,,,,,
88,2,10,AM,,,,,,,,,
88,4,8,AM,,,,,,,,,
88,6,6,AM,,,,,,,,,
88,8,4,AM,,,,,,,,,
90,2,8,AM,,,,,,,,,
90,3,7,AM,,,,,,,,,
90,4,6,AM,,,,,,,,,
90,6,4,AM,,,,,,,,,
90,8,2,AM,,,,,,,,,
86,14,0,AC,,,,,,,,,
90,1,9,AC,,,,,,,,,
92,2,6,AC,,,,,,,,,
92,4,4,AC,,,,,,,,,
92,6,2,AC,,,,,,,,,
94,4,2,AC,,,,,,,,,
94,6,0,AC,,,,,,,,,
96,4,0,AC,,,,,,,,,
98,2,0,AC,,,,,,,,,
94,2,4,CR,,,,,,,,,
96,2,2,CR,,,,,,,,,
Al,Ni,Sm,Phase,,,,,,,,,
65,15,20,AM,,,,,,,,,
70,10,20,AM,,,,,,,,,
70,15,15,AM,,,,,,,,,
70,20,10,AM,,,,,,,,,
75,10,15,AM,,,,,,,,,
75,15,10,AM,,,,,,,,,
78,10,12,AM,,,,,,,,,
80,5,15,AM,,,,,,,,,
80,10,10,AM,,,,,,,,,
80,15,5,AM,,,,,,,,,
81,10,9,AM,,,,,,,,,
83,8,9,AM,,,,,,,,,
83,10,7,AM,,,,,,,,,
84,0,16,AM,,,,,,,,,
85,5,10,AM,,,,,,,,,
85,6,9,AM,,,,,,,,,
85,8,7,AM,,,,,,,,,
85,10,5,AM,,,,,,,,,
86,0,14,AM,,,,,,,,,
87,6,7,AM,,,,,,,,,
87,8,5,AM,,,,,,,,,
88,0,12,AM,,,,,,,,,
89,1,10,AM,,,,,,,,,
90,0,10,AM,,,,,,,,,
90,5,5,AM,,,,,,,,,
92,0,8,AM,,,,,,,,,
75,5,20,AC,,,,,,,,,
75,20,5,CR,,,,,,,,,
82,0,18,CR,,,,,,,,,
94,0,6,CR,,,,,,,,,
25,20,55,AM,,,,,,,,,
Al,Ni,Ti,Phase,,,,,,,,,
0,30,70,AM,,,,,,,,,
0,33,67,AM,,,,,,,,,
0,40,60,AM,,,,,,,,,
10,30,60,AM,,,,,,,,,
10,40,50,AM,,,,,,,,,
20,20,60,AM,,,,,,,,,
20,30,50,AM,,,,,,,,,
20,40,40,AM,,,,,,,,,
25,25,50,AM,,,,,,,,,
25,35,40,AM,,,,,,,,,
0,50,50,AC,,,,,,,,,
0,55,45,AC,,,,,,,,,
5,50,45,AC,,,,,,,,,
10,45,45,AC,,,,,,,,,
0,75,25,CR,,,,,,,,,
10,70,20,CR,,,,,,,,,
31,50,19,CR,,,,,,,,,
40,50,10,CR,,,,,,,,,
10,36,54,AM,,,,,,,,,
20,32,48,AM,,,,,,,,,
30,28,42,AM,,,,,,,,,
10,25,65,AM,,,,,,,,,
15,25,60,AM,,,,,,,,,
94.1,0,5.9,CR,,,,,,,,,
95.8,0.7,3.5,CR,,,,,,,,,
97.1,0,2.9,CR,,,,,,,,,
98.9,0,1.1,CR,,,,,,,,,
88.5,8,3.5,CR,,,,,,,,,
Al,Ni,Ti,Phase,,,,,,,,,
0,28,72,AM,,,,,,,,,
0,38,62,AM,,,,,,,,,
0,63,37,AM,,,,,,,,,
0,68,32,AM,,,,,,,,,
18,42,40,AM,,,,,,,,,
23,35,42,AM,,,,,,,,,
25,30,45,AM,,,,,,,,,
26,44,30,AM,,,,,,,,,
29,29,42,AM,,,,,,,,,
29,52,19,AM,,,,,,,,,
30,25,45,AM,,,,,,,,,
35,7,58,AM,,,,,,,,,
35,48,17,AM,,,,,,,,,
36,19,45,AM,,,,,,,,,
36,28,36,AM,,,,,,,,,
38,30,32,AM,,,,,,,,,
38,32,30,AM,,,,,,,,,
40,37,23,AM,,,,,,,,,
40,44,16,AM,,,,,,,,,
42,14,44,AM,,,,,,,,,
43,17,40,AM,,,,,,,,,
43,35,22,AM,,,,,,,,,
44,14,42,AM,,,,,,,,,
45,7,48,AM,,,,,,,,,
45,25,30,AM,,,,,,,,,
45,42,13,AM,,,,,,,,,
46,0,54,AM,,,,,,,,,
47,37,16,AM,,,,,,,,,
50,25,25,AM,,,,,,,,,
51,7,42,AM,,,,,,,,,
52,11,37,AM,,,,,,,,,
53,25,22,AM,,,,,,,,,
54,12,34,AM,,,,,,,,,
57,0,43,AM,,,,,,,,,
57,17,26,AM,,,,,,,,,
59,0,41,AM,,,,,,,,,
59,9,32,AM,,,,,,,,,
60,30,10,AM,,,,,,,,,
62,0,38,AM,,,,,,,,,
63,14,23,AM,,,,,,,,,
66,0,34,AM,,,,,,,,,
67,10,23,AM,,,,,,,,,
68,0,32,AM,,,,,,,,,
70,17,13,AM,,,,,,,,,
72,17,11,AM,,,,,,,,,
0,72,28,AC,,,,,,,,,
36,0,64,AC,,,,,,,,,
54,41,5,AC,,,,,,,,,
90,0,10,AC,,,,,,,,,
0,0,1,CR,,,,,,,,,
0,84,16,CR,,,,,,,,,
0,1,0,CR,,,,,,,,,
28,72,0,CR,,,,,,,,,
41,54,5,CR,,,,,,,,,
92,0,8,CR,,,,,,,,,
1,0,0,CR,,,,,,,,,
Al,Ni,Ti,Phase,,,,,,,,,
15,15,70,AM,,,,,,,,,
20,20,60,AM,,,,,,,,,
25,25,50,AM,,,,,,,,,
40,10,50,AM,,,,,,,,,
10,30,60,CR,,,,,,,,,
10,40,50,CR,,,,,,,,,
25,50,25,CR,,,,,,,,,
30,10,60,CR,,,,,,,,,
33,33,34,CR,,,,,,,,,
Al,Ni,Y,Phase,,,,,,,,,
50,30,20,AM,,,,,,,,,
55,25,20,AM,,,,,,,,,
60,20,20,AM,,,,,,,,,
60,25,15,AM,,,,,,,,,
65,20,15,AM,,,,,,,,,
70,20,10,AM,,,,,,,,,
75,10,15,AM,,,,,,,,,
80,10,10,AM,,,,,,,,,
80,15,5,AM,,,,,,,,,
82,5,13,AM,,,,,,,,,
82,8,10,AM,,,,,,,,,
85,0,15,AM,,,,,,,,,
85,5,10,AM,,,,,,,,,
85,10,5,AM,,,,,,,,,
86,0,14,AM,,,,,,,,,
87,0,13,AM,,,,,,,,,
87,3,10,AM,,,,,,,,,
87,5,8,AM,,,,,,,,,
87,10,3,AM,,,,,,,,,
88,0,12,AM,,,,,,,,,
89,0,11,AM,,,,,,,,,
90,0,10,AM,,,,,,,,,
90,5,5,AM,,,,,,,,,
91,0,9,AM,,,,,,,,,
92,0,8,AM,,,,,,,,,
80,5,15,AC,,,,,,,,,
90,5,5,AC,,,,,,,,,
70,10,20,CR,,,,,,,,,
86,0,14,CR,,,,,,,,,
90,10,0,CR,,,,,,,,,
92,0,8,CR,,,,,,,,,
70,15,15,AM,,,,,,,,,
75,15,10,AM,,,,,,,,,
78,15,7,AM,,,,,,,,,
88,10,2,AM,,,,,,,,,
65,15,20,AC,,,,,,,,,
70,20,10,CR,,,,,,,,,
75,5,20,CR,,,,,,,,,
75,20,5,CR,,,,,,,,,
88,9,3,AM,,,,,,,,,
85,5,10,CR,,,,,,,,,
85,7.5,7.5,CR,,,,,,,,,
88.5,8,3.5,CR,,,,,,,,,
25,20,55,AM,,,,,,,,,
Al,Ni,Zr,Phase,,,,,,,,,
60,30,10,AM,,,,,,,,,
65,20,15,AM,,,,,,,,,
70,20,10,AM,,,,,,,,,
80,15,5,AM,,,,,,,,,
82,13,5,AM,,,,,,,,,
83,10,7,AM,,,,,,,,,
84,10,6,AM,,,,,,,,,
85,10,5,AM,,,,,,,,,
86,9,5,AM,,,,,,,,,
86,10,4,AM,,,,,,,,,
87,10,3,AM,,,,,,,,,
70,15,15,AC,,,,,,,,,
70,25,5,AC,,,,,,,,,
82,10,8,AC,,,,,,,,,
83,15,2,AC,,,,,,,,,
87.5,7.5,5,AC,,,,,,,,,
88,10,2,AC,,,,,,,,,
55,30,15,CR,,,,,,,,,
60,20,20,CR,,,,,,,,,
0,36,64,AM,,,,,,,,,
5,34.2,60.8,AM,,,,,,,,,
10,32.4,57.6,AM,,,,,,,,,
15,30.6,54.4,AM,,,,,,,,,
20,28.8,51.2,AM,,,,,,,,,
25,27,48,AM,,,,,,,,,
0,20,80,AM,,,,,,,,,
0,30,70,AM,,,,,,,,,
0,40,60,AM,,,,,,,,,
0,50,50,AM,,,,,,,,,
0,60,40,AM,,,,,,,,,
0,65,35,AM,,,,,,,,,
5,15,80,AM,,,,,,,,,
5,20,75,AM,,,,,,,,,
5,25,70,AM,,,,,,,,,
5,30,65,AM,,,,,,,,,
5,35,60,AM,,,,,,,,,
5,40,55,AM,,,,,,,,,
5,45,50,AM,,,,,,,,,
5,50,45,AM,,,,,,,,,
5,55,40,AM,,,,,,,,,
5,60,35,AM,,,,,,,,,
5,65,30,AM,,,,,,,,,
10,10,80,AM,,,,,,,,,
10,15,75,AM,,,,,,,,,
10,20,70,AM,,,,,,,,,
10,25,65,AM,,,,,,,,,
10,30,60,AM,,,,,,,,,
10,35,55,AM,,,,,,,,,
10,40,50,AM,,,,,,,,,
10,50,40,AM,,,,,,,,,
10,55,35,AM,,,,,,,,,
10,60,30,AM,,,,,,,,,
15,5,80,AM,,,,,,,,,
15,10,75,AM,,,,,,,,,
15,15,70,AM,,,,,,,,,
15,20,65,AM,,,,,,,,,
15,25,60,AM,,,,,,,,,
15,30,55,AM,,,,,,,,,
15,35,50,AM,,,,,,,,,
15,40,45,AM,,,,,,,,,
15,45,40,AM,,,,,,,,,
15,50,35,AM,,,,,,,,,
15,55,30,AM,,,,,,,,,
20,10,70,AM,,,,,,,,,
20,15,65,AM,,,,,,,,,
20,20,60,AM,,,,,,,,,
20,25,55,AM,,,,,,,,,
20,30,50,AM,,,,,,,,,
20,35,45,AM,,,,,,,,,
20,40,40,AM,,,,,,,,,
20,45,35,AM,,,,,,,,,
20,50,30,AM,,,,,,,,,
25,5,70,AM,,,,,,,,,
25,10,65,AM,,,,,,,,,
25,15,60,AM,,,,,,,,,
25,20,55,AM,,,,,,,,,
25,25,50,AM,,,,,,,,,
25,30,45,AM,,,,,,,,,
25,35,40,AM,,,,,,,,,
25,40,35,AM,,,,,,,,,
25,45,30,AM,,,,,,,,,
30,15,55,AM,,,,,,,,,
30,20,50,AM,,,,,,,,,
30,25,45,AM,,,,,,,,,
30,30,40,AM,,,,,,,,,
30,35,35,AM,,,,,,,,,
30,40,30,AM,,,,,,,,,
35,20,45,AM,,,,,,,,,
35,35,30,AM,,,,,,,,,
45,10,45,AM,,,,,,,,,
60,20,20,AM,,,,,,,,,
5,85,10,AC,,,,,,,,,
5,10,85,CR,,,,,,,,,
10,5,85,CR,,,,,,,,,
10,70,20,CR,,,,,,,,,
10,80,10,CR,,,,,,,,,
20,0,80,CR,,,,,,,,,
20,60,20,CR,,,,,,,,,
20,70,10,CR,,,,,,,,,
25,0,75,CR,,,,,,,,,
30,0,70,CR,,,,,,,,,
30,10,60,CR,,,,,,,,,
30,50,20,CR,,,,,,,,,
30,60,10,CR,,,,,,,,,
35,5,60,CR,,,,,,,,,
40,10,50,CR,,,,,,,,,
40,20,40,CR,,,,,,,,,
40,30,30,CR,,,,,,,,,
40,40,20,CR,,,,,,,,,
40,50,10,CR,,,,,,,,,
50,10,40,CR,,,,,,,,,
50,20,30,CR,,,,,,,,,
50,30,20,CR,,,,,,,,,
50,40,10,CR,,,,,,,,,
60,10,30,CR,,,,,,,,,
70,10,20,CR,,,,,,,,,
70,30,0,CR,,,,,,,,,
80,10,10,CR,,,,,,,,,
80,20,0,CR,,,,,,,,,
90,5,5,CR,,,,,,,,,
90,10,0,CR,,,,,,,,,
0,18,82,AM,,,,,,,,,
0,68,32,AM,,,,,,,,,
1,16,83,AM,,,,,,,,,
2,14,84,AM,,,,,,,,,
2,66,32,AM,,,,,,,,,
4,12,84,AM,,,,,,,,,
5,10,85,AM,,,,,,,,,
6,64,30,AM,,,,,,,,,
8,8,84,AM,,,,,,,,,
9,62,29,AM,,,,,,,,,
11,6,83,AM,,,,,,,,,
11,60,29,AM,,,,,,,,,
13,58,29,AM,,,,,,,,,
14,4,82,AM,,,,,,,,,
16,56,28,AM,,,,,,,,,
18,2,80,AM,,,,,,,,,
18,54,28,AM,,,,,,,,,
20,2,78,AM,,,,,,,,,
20,52,28,AM,,,,,,,,,
22,2,76,AM,,,,,,,,,
22,50,28,AM,,,,,,,,,
24,2,74,AM,,,,,,,,,
24,48,28,AM,,,,,,,,,
26,4,70,AM,,,,,,,,,
26,8,66,AM,,,,,,,,,
26,46,28,AM,,,,,,,,,
27,6,67,AM,,,,,,,,,
27,10,63,AM,,,,,,,,,
28,12,60,AM,,,,,,,,,
28,44,28,AM,,,,,,,,,
30,14,56,AM,,,,,,,,,
30,42,28,AM,,,,,,,,,
32,16,52,AM,,,,,,,,,
32,20,48,AM,,,,,,,,,
32,40,28,AM,,,,,,,,,
33,22,45,AM,,,,,,,,,
33,38,29,AM,,,,,,,,,
34,20,46,AM,,,,,,,,,
34,24,42,AM,,,,,,,,,
34,34,32,AM,,,,,,,,,
34,36,30,AM,,,,,,,,,
35,26,39,AM,,,,,,,,,
35,32,33,AM,,,,,,,,,
36,28,36,AM,,,,,,,,,
36,30,34,AM,,,,,,,,,
57,26,17,AM,,,,,,,,,
57,28,15,AM,,,,,,,,,
57,30,13,AM,,,,,,,,,
57,32,11,AM,,,,,,,,,
58,32,10,AM,,,,,,,,,
59,24,17,AM,,,,,,,,,
59,32,9,AM,,,,,,,,,
60,22,18,AM,,,,,,,,,
62,20,18,AM,,,,,,,,,
62,30,8,AM,,,,,,,,,
64,28,8,AM,,,,,,,,,
65,18,17,AM,,,,,,,,,
66,26,8,AM,,,,,,,,,
68,24,8,AM,,,,,,,,,
70,16,14,AM,,,,,,,,,
70,22,8,AM,,,,,,,,,
73,20,7,AM,,,,,,,,,
74,14,12,AM,,,,,,,,,
76,18,6,AM,,,,,,,,,
78,12,10,AM,,,,,,,,,
79,16,5,AM,,,,,,,,,
81,10,9,AM,,,,,,,,,
82,14,4,AM,,,,,,,,,
84,8,8,AM,,,,,,,,,
86,12,2,AM,,,,,,,,,
88,7,5,AM,,,,,,,,,
88,10,2,AM,,,,,,,,,
89,9,2,AM,,,,,,,,,
0,90,10,AM,,,,,,,,,
2,88,10,AM,,,,,,,,,
5,85,10,AM,,,,,,,,,
0,90,10,AC,,,,,,,,,
5,85,10,CR,,,,,,,,,
15,75,10,CR,,,,,,,,,
87.5,8,4.5,CR,,,,,,,,,
88.5,8,3.5,CR,,,,,,,,,
89.5,8,2.5,CR,,,,,,,,,
90.5,8,1.5,CR,,,,,,,,,
As,Ge,Te,Phase,,,,,,,,,
5,10,85,AM,,,,,,,,,
15,10,75,AM,,,,,,,,,
Au,Cu,La,Phase,,,,,,,,,
22.75,68.25,9,AM,,,,,,,,,
44.5,44.5,11,AM,,,,,,,,,
45,45,10,AM,,,,,,,,,
45.5,45.5,9,AM,,,,,,,,,
54.6,36.4,9,AM,,,,,,,,,
Au,Cu,Mg,Phase,,,,,,,,,
0,30,70,AM,,,,,,,,,
1,29,70,AM,,,,,,,,,
3,27,70,AM,,,,,,,,,
9,21,70,AM,,,,,,,,,
Au,Mg,Zn,Phase,,,,,,,,,
0,70,30,AM,,,,,,,,,
3,70,27,AM,,,,,,,,,
Au,Pb,Sb,Phase,,,,,,,,,
20,60,20,AM,,,,,,,,,
25,56.25,18.75,AM,,,,,,,,,
30,35,35,AM,,,,,,,,,
30,52.5,17.5,AM,,,,,,,,,
35,48.75,16.25,AM,,,,,,,,,
40,30,30,AM,,,,,,,,,
40,45,15,AM,,,,,,,,,
45,41.25,13.75,AM,,,,,,,,,
50,25,25,AM,,,,,,,,,
50,37.5,12.5,AM,,,,,,,,,
55,33.75,11.25,AM,,,,,,,,,
60,20,20,AM,,,,,,,,,
60,30,10,AM,,,,,,,,,
70,15,15,AM,,,,,,,,,
20,60,20,AC,,,,,,,,,
25,37.5,37.5,AC,,,,,,,,,
30,17.5,52.5,AC,,,,,,,,,
65,26.25,8.75,AC,,,,,,,,,
75,12.5,12.5,AC,,,,,,,,,
0,50,50,CR,,,,,,,,,
0,60,40,CR,,,,,,,,,
0,70,30,CR,,,,,,,,,
0,80,20,CR,,,,,,,,,
0,90,10,CR,,,,,,,,,
10,67.5,22.5,CR,,,,,,,,,
15,21.25,63.75,CR,,,,,,,,,
15,42.5,42.5,CR,,,,,,,,,
20,0,80,CR,,,,,,,,,
20,40,40,CR,,,,,,,,,
30,0,70,CR,,,,,,,,,
40,0,60,CR,,,,,,,,,
50,0,50,CR,,,,,,,,,
60,0,40,CR,,,,,,,,,
60,10,30,CR,,,,,,,,,
53.2,27.5,19.3,AM,,,,,,,,,
55,22.5,22.5,AM,,,,,,,,,
53.2,27.6,19.2,AM,,,,,,,,,
Ca,Cu,La,Phase,,,,,,,,,
0,27,73,AM,,,,,,,,,
0,37,63,AM,,,,,,,,,
1,27.5,71.5,AM,,,,,,,,,
1,37.5,61.5,AM,,,,,,,,,
1.5,27.5,71,AM,,,,,,,,,
2,28,70,AM,,,,,,,,,
2,37.5,60.5,AM,,,,,,,,,
3,28.5,68.5,AM,,,,,,,,,
3,37.5,59.5,AM,,,,,,,,,
4,29,67,AM,,,,,,,,,
4,37.5,58.5,AM,,,,,,,,,
5,30,65,AM,,,,,,,,,
5,37.5,57.5,AM,,,,,,,,,
6,31,63,AM,,,,,,,,,
6.5,37,56.5,AM,,,,,,,,,
7,32,61,AM,,,,,,,,,
7.5,36,56.5,AM,,,,,,,,,
8,32.5,59.5,AM,,,,,,,,,
8.5,33,58.5,AM,,,,,,,,,
8.5,35,56.5,AM,,,,,,,,,
9,33.5,57.5,AM,,,,,,,,,
Ca,Cu,Mg,Phase,,,,,,,,,
50,30,20,AM,,,,,,,,,
25,30,45,AM,,,,,,,,,
50,20,30,AM,,,,,,,,,
70,0,30,AM,,,,,,,,,
70,10,20,AM,,,,,,,,,
70,20,10,AM,,,,,,,,,
70,30,0,AM,,,,,,,,,
75,10,15,AM,,,,,,,,,
7.5,5,87.5,AM,,,,,,,,,
7.5,10,82.5,AM,,,,,,,,,
5,10,85,AC,,,,,,,,,
11,0,89,AC,,,,,,,,,
5,5,90,CR,,,,,,,,,
7.5,0,92.5,CR,,,,,,,,,
Ca,Ga,Mg,Phase,,,,,,,,,
60,0,40,AM,,,,,,,,,
60,5,35,AM,,,,,,,,,
60,10,30,AM,,,,,,,,,
60,20,20,AM,,,,,,,,,
60,30,10,AM,,,,,,,,,
Ca,Mg,Zn,Phase,,,,,,,,,
10,80,10,AM,,,,,,,,,
10,85,5,AM,,,,,,,,,
5,85,10,AC,,,,,,,,,
7.5,82.5,10,AC,,,,,,,,,
7.5,87.5,5,AC,,,,,,,,,
10,90,0,AC,,,,,,,,,
5,90,5,CR,,,,,,,,,
7.5,92.5,0,CR,,,,,,,,,
Ce,Cu,Mg,Phase,,,,,,,,,
0,20,80,AM,,,,,,,,,
0,30,70,AM,,,,,,,,,
0,40,60,AM,,,,,,,,,
5,10,85,AM,,,,,,,,,
5,15,80,AM,,,,,,,,,
5,20,75,AM,,,,,,,,,
5,25,70,AM,,,,,,,,,
5,30,65,AM,,,,,,,,,
10,10,80,AM,,,,,,,,,
10,15,75,AM,,,,,,,,,
10,20,70,AM,,,,,,,,,
10,25,65,AM,,,,,,,,,
15,15,70,AM,,,,,,,,,
15,20,65,AM,,,,,,,,,
0,15,85,AC,,,,,,,,,
15,25,60,AC,,,,,,,,,
20,20,60,AC,,,,,,,,,
0,10,90,CR,,,,,,,,,
5,5,90,CR,,,,,,,,,
10,5,85,CR,,,,,,,,,
15,5,80,CR,,,,,,,,,
15,10,75,CR,,,,,,,,,
20,5,75,CR,,,,,,,,,
20,10,70,CR,,,,,,,,,
20,15,65,CR,,,,,,,,,
20,25,55,CR,,,,,,,,,
25,25,50,CR,,,,,,,,,
. Ce,Cu,Yb,Phase,,,,,,,,,
0,28,72,AM,,,,,,,,,
0,78,22,AM,,,,,,,,,
0,82,18,AM,,,,,,,,,
20.56,51.02,28.42,AM,,,,,,,,,
25.73,54.05,20.22,AM,,,,,,,,,
. Ce,Mg,Ni,Phase,,,,,,,,,
5,75,20,AM,,,,,,,,,
5,85,10,AM,,,,,,,,,
10,60,30,AM,,,,,,,,,
10,70,20,AM,,,,,,,,,
10,72,18,AM,,,,,,,,,
10,75,15,AM,,,,,,,,,
10,80,10,AM,,,,,,,,,
10,85,5,AM,,,,,,,,,
15,75,10,AM,,,,,,,,,
20,50,30,AM,,,,,,,,,
20,60,20,AM,,,,,,,,,
0,80,20,AM,,,,,,,,,
0,85,15,AM,,,,,,,,,
0,90,10,AM,,,,,,,,,
5,90,5,AC,,,,,,,,,
20,40,40,AC,,,,,,,,,
20,70,10,AC,,,,,,,,,
30,40,30,AC,,,,,,,,,
0,70,30,CR,,,,,,,,,
10,90,0,CR,,,,,,,,,
Ce,Mg,Zn,Phase,,,,,,,,,
3,85,12,AM,,,,,,,,,
Co,Cr,Zr,Phase,,,,,,,,,
66,18,16,AM,,,,,,,,,
67.5,16,16.5,AM,,,,,,,,,
69,14,17,AM,,,,,,,,,
71,12,17,AM,,,,,,,,,
72.5,10,17.5,AM,,,,,,,,,
72.8,20,7.2,AM,,,,,,,,,
74.5,8,17.5,AM,,,,,,,,,
75,18,7,AM,,,,,,,,,
76.5,6,17.5,AM,,,,,,,,,
77.5,16,6.5,AM,,,,,,,,,
78.5,4,17.5,AM,,,,,,,,,
80,14,6,AM,,,,,,,,,
81,2,17,AM,,,,,,,,,
82,12,6,AM,,,,,,,,,
84,0,16,AM,,,,,,,,,
84,10,6,AM,,,,,,,,,
85.5,8,6.5,AM,,,,,,,,,
87.2,6,6.8,AM,,,,,,,,,
88.5,4,7.5,AM,,,,,,,,,
89.7,2,8.3,AM,,,,,,,,,
91,0,9,AM,,,,,,,,,
73,15,12,AM,,,,,,,,,
73,17,10,AM,,,,,,,,,
75,10,15,AM,,,,,,,,,
75,13,12,AM,,,,,,,,,
75,15,10,AM,,,,,,,,,
76,12,12,AM,,,,,,,,,
77,11,12,AM,,,,,,,,,
77,13,10,AM,,,,,,,,,
78,10,12,AM,,,,,,,,,
79,11,10,AM,,,,,,,,,
80,10,10,AM,,,,,,,,,
81,9,10,AM,,,,,,,,,
82,8,10,AM,,,,,,,,,
82,10,8,AM,,,,,,,,,
83,5,12,AM,,,,,,,,,
85,5,10,AM,,,,,,,,,
88,0,12,AM,,,,,,,,,
90,0,10,AM,,,,,,,,,
60,30,10,AM,,,,,,,,,
65,25,10,AM,,,,,,,,,
70,20,10,AM,,,,,,,,,
75.4,12.6,12,AM,,,,,,,,,
77,11.6,11.4,AM,,,,,,,,,
78,11.2,10.8,AM,,,,,,,,,
79,10.6,10.4,AM,,,,,,,,,
81.2,9.6,9.2,AM,,,,,,,,,
83.4,8.3,8.3,AM,,,,,,,,,
72.9,17.1,10,AM,,,,,,,,,
Co,Fe,Nb,Phase,,,,,,,,,
